gvkey,splticrm,spsdrm,spsticrm,datadate,gsector,conm,tic,cusip
160225,BBB+,,A-2,2010-09-30,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2010-10-31,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2010-11-30,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2010-12-31,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2011-01-31,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2011-02-28,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2011-03-31,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2011-04-30,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2011-05-31,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2011-06-30,40,MASTERCARD INC,MA,57636Q104
160225,BBB+,,A-2,2011-07-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2011-08-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2011-09-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2011-10-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2011-11-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2011-12-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-01-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-02-29,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-03-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-04-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-05-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-06-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-07-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-08-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-09-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-10-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-11-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2012-12-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2013-01-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2013-02-28,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2013-03-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2013-04-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2013-05-31,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2013-06-30,40,MASTERCARD INC,MA,57636Q104
160225,A-,,A-2,2013-07-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2013-08-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2013-09-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2013-10-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2013-11-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2013-12-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-01-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-02-28,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-03-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-04-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-05-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-06-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-07-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-08-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-09-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-10-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-11-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2014-12-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-01-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-02-28,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-03-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-04-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-05-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-06-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-07-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-08-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-09-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-10-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-11-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2015-12-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-01-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-02-29,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-03-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-04-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-05-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-06-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-07-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-08-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-09-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-10-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-11-30,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2016-12-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2017-01-31,40,MASTERCARD INC,MA,57636Q104
160225,A,,A-1,2017-02-28,40,MASTERCARD INC,MA,57636Q104
160329,,,,2010-01-31,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2010-02-28,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2010-03-31,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2010-04-30,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2010-05-31,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2010-06-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2010-07-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2010-08-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2010-09-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2010-10-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2010-11-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2010-12-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-01-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-02-28,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-03-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-04-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-05-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-06-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-07-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-08-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-09-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-10-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-11-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2011-12-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-01-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-02-29,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-03-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-04-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-05-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-06-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-07-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-08-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-09-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA-,,A-1+,2012-10-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2012-11-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2012-12-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-01-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-02-28,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-03-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-04-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-05-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-06-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-07-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-08-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-09-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-10-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-11-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2013-12-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-01-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-02-28,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-03-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-04-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-05-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-06-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-07-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-08-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-09-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-10-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-11-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2014-12-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-01-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-02-28,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-03-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-04-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-05-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-06-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-07-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-08-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2015-09-30,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2015-10-31,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2015-11-30,50,ALPHABET INC,GOOGL,02079K305
160329,,,,2015-12-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-02-29,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-03-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-04-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-05-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-06-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-07-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-08-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-09-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-10-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-11-30,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2016-12-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA,,A-1+,2017-01-31,50,ALPHABET INC,GOOGL,02079K305
160329,AA+,,A-1+,2017-02-28,50,ALPHABET INC,GOOGL,02079K305
160479,,,,2010-01-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-02-28,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-03-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-04-30,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-05-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-06-30,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-07-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-08-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-09-30,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-10-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-11-30,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2010-12-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2011-01-31,60,EXTRA SPACE STORAGE INC,EXR,30225T102
160479,,,,2011-02-28,60,EXTRA SPACE STORAGE INC,EXR,30225T102
